config_name,noise_threshold,buy_rule,sell_rule,stop_loss_pct,take_profit_pct,max_holding_days,decisions_count,hold_count,buy_count,sell_count,operations_count,trades_count,initial_balance,final_balance,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,total_fees,avg_trade_result,model_rmse,model_mae,model_mape,open_position_amount
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold10,0.00025,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,10,365,280,43,42,85,42,10000,10337.13,3.37127,1.512565,1.201496,57.142857,0,8.02683264,2107.69756314,1537.91571758,1.56150688,0.01312836
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.08__hold20,0.00025,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.08,20,365,278,44,43,87,43,10000,10334.95,3.349504,1.603773,0.858039,53.488372,0,7.78954443,2107.69756314,1537.91571758,1.56150688,0.0131256
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.08__hold30,0.00025,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.08,30,365,278,44,43,87,43,10000,10334.95,3.349504,1.603773,0.858039,53.488372,0,7.78954443,2107.69756314,1537.91571758,1.56150688,0.0131256
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold20,0.00025,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,20,365,280,43,42,85,42,10000,10326.97,3.269694,1.49088,1.201496,57.142857,0,7.7849853,2107.69756314,1537.91571758,1.56150688,0.01311546
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold30,0.00025,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,30,365,280,43,42,85,42,10000,10326.97,3.269694,1.49088,1.201496,57.142857,0,7.7849853,2107.69756314,1537.91571758,1.56150688,0.01311546
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.06__hold10,0.00025,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.06,10,365,280,43,42,85,42,10000,10303.04,3.030388,1.414561,1.201496,57.142857,0,7.21520927,2107.69756314,1537.91571758,1.56150688,0.01308507
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.04__hold10,0.00025,forecast_only,negative_forecast_or_ema_bearish,0.02,0.04,10,365,286,40,39,79,39,10000,10289.36,2.893613,1.175172,1.537713,56.410256,0,7.41952065,2107.69756314,1537.91571758,1.56150688,0.0130677
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.04__hold20,0.00025,forecast_only,negative_forecast_or_ema_bearish,0.02,0.04,20,365,286,40,39,79,39,10000,10289.36,2.893613,1.175172,1.537713,56.410256,0,7.41952065,2107.69756314,1537.91571758,1.56150688,0.0130677
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.04__hold30,0.00025,forecast_only,negative_forecast_or_ema_bearish,0.02,0.04,30,365,286,40,39,79,39,10000,10289.36,2.893613,1.175172,1.537713,56.410256,0,7.41952065,2107.69756314,1537.91571758,1.56150688,0.0130677
nt0.00025__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.06__hold10,0.00025,forecast_only,negative_forecast_or_ema_bearish,0.02,0.06,10,365,286,40,39,79,39,10000,10289.36,2.893613,1.175172,1.537713,56.410256,0,7.41952065,2107.69756314,1537.91571758,1.56150688,0.0130677
