config_name,noise_threshold,buy_rule,sell_rule,stop_loss_pct,take_profit_pct,max_holding_days,decisions_count,hold_count,buy_count,sell_count,operations_count,trades_count,initial_balance,final_balance,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,total_fees,avg_trade_result,model_rmse,model_mae,model_mape,open_position_amount
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.06__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.06,20,365,297,34,34,68,34,10000,10236.21,2.362073,1.288791,0.897303,47.058824,0,6.94727235,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.06__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.06,30,365,297,34,34,68,34,10000,10236.21,2.362073,1.288791,0.897303,47.058824,0,6.94727235,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.06__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.06,10,365,299,33,33,66,33,10000,10231.36,2.313619,1.236825,1.0488,48.484848,0,7.01096684,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,30,365,307,29,29,58,29,10000,10227.53,2.275306,1.095391,1.116577,51.724138,0,7.84588304,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.02__tp0.08__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.02,0.08,10,365,295,35,35,70,35,10000,10206.94,2.06942,1.217237,0.797603,42.857143,0,5.91262782,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.02__tp0.08__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.02,0.08,20,365,295,35,35,70,35,10000,10206.94,2.06942,1.217237,0.797603,42.857143,0,5.91262782,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.02__tp0.08__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.02,0.08,30,365,295,35,35,70,35,10000,10206.94,2.06942,1.217237,0.797603,42.857143,0,5.91262782,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.02__tp0.06__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.02,0.06,10,365,293,36,36,72,36,10000,10198.19,1.981893,1.219726,0.797603,41.666667,0,5.50525815,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.02__tp0.06__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.02,0.06,20,365,293,36,36,72,36,10000,10198.19,1.981893,1.219726,0.797603,41.666667,0,5.50525815,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.02__tp0.06__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.02,0.06,30,365,293,36,36,72,36,10000,10198.19,1.981893,1.219726,0.797603,41.666667,0,5.50525815,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.04__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.04,10,365,297,34,34,68,34,10000,10189.71,1.89714,1.223553,0.794499,50,0,5.57982326,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.04__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.04,20,365,297,34,34,68,34,10000,10189.71,1.89714,1.223553,0.794499,50,0,5.57982326,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.04__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.04,30,365,297,34,34,68,34,10000,10189.71,1.89714,1.223553,0.794499,50,0,5.57982326,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.08__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.08,20,365,299,33,33,66,33,10000,10185.93,1.859314,0.972323,1.008462,48.484848,0,5.63428378,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.04__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.04,10,365,301,32,32,64,32,10000,10184.93,1.849325,1.018459,1.098483,53.125,0,5.77914037,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.06__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.06,20,365,301,32,32,64,32,10000,10173.82,1.738236,0.852275,1.116577,50,0,5.43198766,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.06__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.06,30,365,301,32,32,64,32,10000,10173.82,1.738236,0.852275,1.116577,50,0,5.43198766,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.08__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.08,10,365,297,34,34,68,34,10000,10169.75,1.697518,0.895068,1.165702,47.058824,0,4.99269988,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.03__tp0.08__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.03,0.08,30,365,301,32,32,64,32,10000,10169.14,1.691377,0.877451,1.17167,46.875,0,5.28555335,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.06__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.06,10,365,301,32,32,64,32,10000,10162.31,1.62305,0.787981,1.214001,50,0,5.07203203,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.04__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.04,20,365,301,32,32,64,32,10000,10147.97,1.479707,0.838186,1.098483,53.125,0,4.62408429,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.04__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.04,30,365,301,32,32,64,32,10000,10147.97,1.479707,0.838186,1.098483,53.125,0,4.62408429,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.04__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.04,10,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.04__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.04,20,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.04__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.04,30,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.06__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.06,10,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.06__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.06,20,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.06__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.06,30,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.08__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.08,10,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.08__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.08,20,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.02__tp0.08__hold30,0.001,forecast_only,negative_forecast_or_ema_bearish,0.02,0.08,30,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.03__tp0.04__hold10,0.001,forecast_only,negative_forecast_or_ema_bearish,0.03,0.04,10,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_only__sell_negative_forecast_or_ema_bearish__sl0.03__tp0.04__hold20,0.001,forecast_only,negative_forecast_or_ema_bearish,0.03,0.04,20,365,309,28,28,56,28,10000,10137,1.370019,0.612555,1.453084,50,0,4.89292623,2107.69756314,1537.91571758,1.56150688,0
