operation_no,ts,side,order_type,price,amount,status,fee,trade_result,reason
1,2025-02-28T00:00:00.000Z,покупка,рыночный,84339.4,0.01185685,исполнена,0,,buy_signal
2,2025-03-01T00:00:00.000Z,продажа,рыночный,86056.1,0.01185685,исполнена,0,20.35466223,ema_bearish_state
3,2025-03-02T00:00:00.000Z,покупка,рыночный,94269.5,0.01062948,исполнена,0,,buy_signal
4,2025-03-03T00:00:00.000Z,продажа,стоп-лосс,91441.41,0.01062948,исполнена,0,-30.06106399,stop_loss
5,2025-03-04T00:00:00.000Z,покупка,рыночный,87277.9,0.01144653,исполнена,0,,buy_signal
6,2025-03-05T00:00:00.000Z,продажа,рыночный,90608.7,0.01144653,исполнена,0,38.12611201,ema_bearish_state
7,2025-03-06T00:00:00.000Z,покупка,рыночный,89930,0.01115136,исполнена,0,,buy_signal
8,2025-03-07T00:00:00.000Z,продажа,стоп-лосс,87232.1,0.01115136,исполнена,0,-30.08525913,stop_loss
9,2025-03-08T00:00:00.000Z,покупка,рыночный,86227.9,0.01159524,исполнена,0,,buy_signal
10,2025-03-09T00:00:00.000Z,продажа,стоп-лосс,83641.06,0.01159524,исполнена,0,-29.99500335,stop_loss
11,2025-03-10T00:00:00.000Z,покупка,рыночный,78595.8,0.01268304,исполнена,0,,buy_signal
12,2025-03-11T00:00:00.000Z,продажа,тейк-профит,83311.55,0.01268304,исполнена,0,59.81003669,take_profit
13,2025-03-12T00:00:00.000Z,покупка,рыночный,83691.9,0.01198222,исполнена,0,,buy_signal
14,2025-03-13T00:00:00.000Z,продажа,стоп-лосс,81181.14,0.01198222,исполнена,0,-30.08444845,stop_loss
15,2025-03-14T00:00:00.000Z,покупка,рыночный,83988.7,0.01190406,исполнена,0,,buy_signal
16,2025-03-15T00:00:00.000Z,продажа,рыночный,84342,0.01190406,исполнена,0,4.20570431,ema_bearish_state
17,2025-03-16T00:00:00.000Z,покупка,рыночный,82578.1,0.0121125,исполнена,0,,buy_signal
18,2025-03-17T00:00:00.000Z,продажа,рыночный,84011.9,0.0121125,исполнена,0,17.36689968,ema_bearish_state
19,2025-03-18T00:00:00.000Z,покупка,рыночный,82709.7,0.01211422,исполнена,0,,buy_signal
20,2025-03-19T00:00:00.000Z,продажа,рыночный,86841,0.01211422,исполнена,0,50.04749018,ema_bearish_state
21,2025-03-20T00:00:00.000Z,покупка,рыночный,84225.9,0.01195557,исполнена,0,,buy_signal
22,2025-03-21T00:00:00.000Z,продажа,рыночный,84086.5,0.01195557,исполнена,0,-1.66660624,ema_bearish_state
23,2025-03-22T00:00:00.000Z,покупка,рыночный,83850,0.01200718,исполнена,0,,buy_signal
24,2025-03-23T00:00:00.000Z,продажа,рыночный,86083.3,0.01200718,исполнена,0,26.81563002,ema_bearish_state
25,2025-04-10T00:00:00.000Z,покупка,рыночный,79599.5,0.01268203,исполнена,0,,buy_signal
26,2025-04-11T00:00:00.000Z,продажа,рыночный,83416,0.01268203,исполнена,0,48.40097557,ema_bearish_state
27,2025-04-12T00:00:00.000Z,покупка,рыночный,85268,0.01189571,исполнена,0,,buy_signal
28,2025-04-13T00:00:00.000Z,продажа,рыночный,83760,0.01189571,исполнена,0,-17.93873267,ema_bearish_state
29,2025-04-14T00:00:00.000Z,покупка,рыночный,84586.6,0.01197033,исполнена,0,,buy_signal
30,2025-04-15T00:00:00.000Z,продажа,рыночный,83650.7,0.01197033,исполнена,0,-11.20303322,ema_bearish_state
31,2025-05-02T00:00:00.000Z,покупка,рыночный,96891.6,0.01043857,исполнена,0,,buy_signal
32,2025-05-05T00:00:00.000Z,продажа,стоп-лосс,93984.85,0.01043857,исполнена,0,-30.34228009,stop_loss
33,2025-05-06T00:00:00.000Z,покупка,рыночный,96833.9,0.01041345,исполнена,0,,buy_signal
34,2025-05-08T00:00:00.000Z,продажа,тейк-профит,102643.93,0.01041345,исполнена,0,60.5025065,take_profit
35,2025-05-09T00:00:00.000Z,покупка,рыночный,102986,0.00985013,исполнена,0,,buy_signal
36,2025-05-21T00:00:00.000Z,продажа,тейк-профит,109165.16,0.00985013,исполнена,0,60.86552154,take_profit
37,2025-05-22T00:00:00.000Z,покупка,рыночный,111701.9,0.00913603,исполнена,0,,buy_signal
38,2025-05-23T00:00:00.000Z,продажа,стоп-лосс,108350.84,0.00913603,исполнена,0,-30.61535733,stop_loss
39,2025-05-24T00:00:00.000Z,покупка,рыночный,107767.2,0.00944119,исполнена,0,,buy_signal
40,2025-05-30T00:00:00.000Z,продажа,стоп-лосс,104534.18,0.00944119,исполнена,0,-30.52351126,stop_loss
41,2025-06-02T00:00:00.000Z,покупка,рыночный,105847.3,0.0095836,исполнена,0,,buy_signal
42,2025-06-05T00:00:00.000Z,продажа,стоп-лосс,102671.88,0.0095836,исполнена,0,-30.43194073,stop_loss
43,2025-06-06T00:00:00.000Z,покупка,рыночный,104295.5,0.00969701,исполнена,0,,buy_signal
44,2025-06-09T00:00:00.000Z,продажа,тейк-профит,110553.23,0.00969701,исполнена,0,60.68128981,take_profit
45,2025-10-20T00:00:00.000Z,покупка,рыночный,110544.4,0.00920375,исполнена,0,,buy_signal
46,2025-10-21T00:00:00.000Z,продажа,рыночный,108310,0.00920375,исполнена,0,-20.56485774,ema_bearish_state
47,2025-10-22T00:00:00.000Z,покупка,рыночный,107584,0.00943789,исполнена,0,,buy_signal
48,2025-10-23T00:00:00.000Z,продажа,рыночный,110073.8,0.00943789,исполнена,0,23.49847046,ema_bearish_state
49,2025-10-24T00:00:00.000Z,покупка,рыночный,111010,0.00916779,исполнена,0,,buy_signal
50,2025-10-25T00:00:00.000Z,продажа,рыночный,111650,0.00916779,исполнена,0,5.86738533,ema_bearish_state
51,2025-11-19T00:00:00.000Z,покупка,рыночный,91561.1,0.01112157,исполнена,0,,buy_signal
52,2025-11-20T00:00:00.000Z,продажа,стоп-лосс,88814.27,0.01112157,исполнена,0,-30.54909177,stop_loss
53,2025-11-21T00:00:00.000Z,покупка,рыночный,85135,0.01192516,исполнена,0,,buy_signal
54,2025-11-22T00:00:00.000Z,продажа,рыночный,84741.1,0.01192516,исполнена,0,-4.69731892,ema_bearish_state
55,2025-11-23T00:00:00.000Z,покупка,рыночный,86846.6,0.01168472,исполнена,0,,buy_signal
56,2025-11-24T00:00:00.000Z,продажа,рыночный,88281.8,0.01168472,исполнена,0,16.76991368,ema_bearish_state
57,2025-11-25T00:00:00.000Z,покупка,рыночный,87359.1,0.01163537,исполнена,0,,buy_signal
58,2025-11-26T00:00:00.000Z,продажа,рыночный,90482.1,0.01163537,исполнена,0,36.33725901,ema_bearish_state
59,2025-11-27T00:00:00.000Z,покупка,рыночный,91330.3,0.01116923,исполнена,0,,buy_signal
60,2025-11-28T00:00:00.000Z,продажа,рыночный,90890.5,0.01116923,исполнена,0,-4.9122274,ema_bearish_state
61,2025-11-29T00:00:00.000Z,покупка,рыночный,90801.9,0.01122882,исполнена,0,,buy_signal
62,2025-11-30T00:00:00.000Z,продажа,рыночный,90367.3,0.01122882,исполнена,0,-4.88004384,ema_bearish_state
