config_name,noise_threshold,buy_rule,sell_rule,stop_loss_pct,take_profit_pct,max_holding_days,decisions_count,hold_count,buy_count,sell_count,operations_count,trades_count,initial_balance,final_balance,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,total_fees,avg_trade_result,model_rmse,model_mae,model_mape,open_position_amount
nt0.001__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.04__hold10,0.001,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.04,10,365,355,5,5,10,5,10000,10146.98,1.469818,1.518499,0.701472,80,0,29.39636376,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_predicted_close_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.04__hold10,0.001,predicted_close_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.04,10,365,355,5,5,10,5,10000,10146.98,1.469818,1.518499,0.701472,80,0,29.39636376,2107.69756314,1537.91571758,1.56150688,0
nt0.00075__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold30,0.00075,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,30,365,361,2,2,4,2,10000,10139.52,1.395172,1.148768,0.972688,100,0,69.75858479,2107.69756314,1537.91571758,1.56150688,0
nt0.00075__buy_predicted_close_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold30,0.00075,predicted_close_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,30,365,361,2,2,4,2,10000,10139.52,1.395172,1.148768,0.972688,100,0,69.75858479,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold30,0.001,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,30,365,361,2,2,4,2,10000,10139.52,1.395172,1.148768,0.972688,100,0,69.75858479,2107.69756314,1537.91571758,1.56150688,0
nt0.001__buy_predicted_close_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold30,0.001,predicted_close_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,30,365,361,2,2,4,2,10000,10139.52,1.395172,1.148768,0.972688,100,0,69.75858479,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold10,0.00025,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,10,365,357,4,4,8,4,10000,10133.06,1.330574,1.148615,1.011534,75,0,33.26435413,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_predicted_close_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold10,0.00025,predicted_close_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,10,365,357,4,4,8,4,10000,10133.06,1.330574,1.148615,1.011534,75,0,33.26435413,2107.69756314,1537.91571758,1.56150688,0
nt0.0005__buy_forecast_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold10,0.0005,forecast_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,10,365,357,4,4,8,4,10000,10133.06,1.330574,1.057123,1.011534,75,0,33.26435413,2107.69756314,1537.91571758,1.56150688,0
nt0.0005__buy_predicted_close_and_ema_state__sell_negative_forecast_or_ema_bearish_or_risk_or_max_hold__sl0.05__tp0.08__hold10,0.0005,predicted_close_and_ema_state,negative_forecast_or_ema_bearish_or_risk_or_max_hold,0.05,0.08,10,365,357,4,4,8,4,10000,10133.06,1.330574,1.057123,1.011534,75,0,33.26435413,2107.69756314,1537.91571758,1.56150688,0
