config_name,noise_threshold,buy_rule,sell_rule,stop_loss_pct,take_profit_pct,max_holding_days,decisions_count,hold_count,buy_count,sell_count,operations_count,trades_count,initial_balance,final_balance,total_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,total_fees,avg_trade_result,model_rmse,model_mae,model_mape,open_position_amount
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.04__hold10,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.04,10,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.04__hold20,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.04,20,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.04__hold30,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.04,30,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.06__hold10,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.06,10,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.06__hold20,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.06,20,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.06__hold30,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.06,30,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.08__hold10,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.08,10,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.08__hold20,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.08,20,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.02__tp0.08__hold30,0.00025,forecast_and_ema_state,negative_forecast,0.02,0.08,30,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.04__hold10,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.04,10,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.04__hold20,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.04,20,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.04__hold30,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.04,30,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.06__hold10,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.06,10,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.06__hold20,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.06,20,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.06__hold30,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.06,30,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.08__hold10,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.08,10,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.08__hold20,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.08,20,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.03__tp0.08__hold30,0.00025,forecast_and_ema_state,negative_forecast,0.03,0.08,30,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
nt0.00025__buy_forecast_and_ema_state__sell_negative_forecast__sl0.05__tp0.04__hold10,0.00025,forecast_and_ema_state,negative_forecast,0.05,0.04,10,365,363,1,1,2,1,10000,10122.14,1.22136,0.890714,1.063618,100,0,122.13595347,2107.69756314,1537.91571758,1.56150688,0
